date,value
2025-08-26,7327349136
2025-08-27,7325055886
2025-08-28,7316046478
2025-08-29,7319291506
2025-08-30,7321414791
2025-09-01,7322325014
2025-09-02,7322654120
2025-09-04,7315415780
2025-09-07,7319521236
2025-09-08,7385232683
2025-09-10,7378112756
2025-09-11,7372789000
2025-09-12,7429872429
2025-09-13,7422583299
2025-09-14,7461096102
2025-09-15,7459544789
2025-09-16,7462980037
2025-09-18,7457547875
2025-09-19,7452807884
2025-09-21,7496993123
2025-09-22,7500528952
2025-09-23,7439622360
2025-09-25,7434813524
2025-09-27,7439019283
2025-09-28,7439177196
2025-09-29,7439729457
2025-09-30,7436570516
2025-10-01,7432277069
2025-10-02,7432445145
2025-10-03,7423857496
2025-10-04,7416778283
2025-10-05,7416496653
2025-10-08,7428501479
2025-10-09,7437750789
2025-10-11,8476327304
2025-10-16,9615302524
2025-10-17,9643606150
2025-10-18,8505320375
2025-10-20,8510145574
2025-10-21,8549348233
2025-10-23,8559888063
2025-10-25,8542825301
2025-10-27,8572014479
2025-11-02,8563531371
2025-11-03,8564789794
2025-11-04,8600585989
2025-11-05,8625607216
2025-11-06,8598446242
2025-11-07,8618405847
2025-11-08,8632191053
2025-11-09,8632885826
2025-11-10,8635554974
2025-11-11,8669778972
2025-11-12,8671108627
2025-11-13,8686681567
2025-11-14,8694291396
2025-11-15,8686046554
2025-11-16,8700807378
2025-11-17,8787714309
2025-11-18,8807563803
2025-11-19,8857582818
2025-11-20,8812892984
2025-11-21,8821760236
2025-11-22,8827693107
2025-11-23,8828694872
2025-11-24,8829358360
2025-11-25,8816649794
2025-11-26,8672530712
2025-11-27,8717562001
2025-11-28,8825268334
2025-11-29,8796247974
2025-12-02,8812677126
2025-12-03,8810529942
2025-12-04,8600932129
2025-12-05,8615914601
2025-12-06,8808516771
2025-12-07,8814149462
2025-12-08,8817987896
2025-12-09,8816934025
2025-12-10,8815825109
2025-12-11,8847743263
2025-12-12,8859138304
2025-12-13,8876709903
2025-12-14,8876572910
2025-12-15,8878762728
